Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createUser,Chrome 67.0.3396.87,,2018-06-24 12:01:53,2018-06-24 12:04:20,2m - 26.927s,PASSED
,,,,,,
Test Cases/Health checks/TC-44629,Chrome 67.0.3396.87,,2018-06-24 12:01:55,2018-06-24 12:04:20,2m - 25.192s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 12:01:57,2018-06-24 12:02:13,15.794s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 12:02:13,2018-06-24 12:02:28,15.655s,PASSED
browserHelper.Navigation.NavigateToCreateUserPage,Chrome 67.0.3396.87,,2018-06-24 12:02:28,2018-06-24 12:02:29,0.594s,PASSED
browserHelper.Navigation.NavigateToInstitutionUsersPage,Chrome 67.0.3396.87,,2018-06-24 12:02:29,2018-06-24 12:02:38,8.758s,PASSED
browserHelper.Generic.WaitUntilLoadingComplete,Chrome 67.0.3396.87,,2018-06-24 12:02:38,2018-06-24 12:02:38,0.224s,PASSED
waitForElementClickable,Chrome 67.0.3396.87,,2018-06-24 12:02:38,2018-06-24 12:02:38,0.159s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:02:38,2018-06-24 12:02:39,0.282s,PASSED
Statement - createUserData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Data Files/Test Data/Create User),Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:02:39,0.117s,PASSED
Statement - size = createUserData.getRowNumbers(),Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:02:39,0.002s,PASSED
Statement - first_name = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:02:39,0.001s,PASSED
Statement - surname = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:02:39,0.001s,PASSED
Statement - email_address = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:02:39,0.001s,PASSED
"Statement - For ([i = 1, i <= createUserData.getRowNumbers(), (i++)])",Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:03:26,47.279s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 12:03:26,2018-06-24 12:03:28,2.003s,PASSED
scrollToElement,Chrome 67.0.3396.87,,2018-06-24 12:03:28,2018-06-24 12:03:28,0.075s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:03:28,2018-06-24 12:03:28,0.164s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 12:03:28,2018-06-24 12:03:33,5.227s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-24 12:03:33,2018-06-24 12:03:33,0.094s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:03:33,2018-06-24 12:03:36,2.807s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 12:03:36,2018-06-24 12:03:48,11.462s,PASSED
browserHelper.Navigation.NavigateToPendingApprovalsPage,Chrome 67.0.3396.87,,2018-06-24 12:03:48,2018-06-24 12:03:59,10.884s,PASSED
browserHelper.Approval.ApproveCreateUserRequest,Chrome 67.0.3396.87,,2018-06-24 12:03:59,2018-06-24 12:04:06,7.766s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 12:04:06,2018-06-24 12:04:07,1.099s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-24 12:04:07,2018-06-24 12:04:08,0.060s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-24 12:04:08,2018-06-24 12:04:08,0.146s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-24 12:04:08,2018-06-24 12:04:09,1.236s,PASSED
refresh,Chrome 67.0.3396.87,,2018-06-24 12:04:09,2018-06-24 12:04:10,0.949s,PASSED
verifyEqual,Chrome 67.0.3396.87,,2018-06-24 12:04:10,2018-06-24 12:04:19,9.553s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-24 12:04:19,2018-06-24 12:04:20,0.804s,PASSED
