Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment01,Chrome 67.0.3396.87,,2018-06-24 10:42:40,2018-06-24 10:43:52,1m - 11.613s,PASSED
,,,,,,
Test Cases/Health checks/TC-44702,Chrome 67.0.3396.87,,2018-06-24 10:42:41,2018-06-24 10:43:52,1m - 10.890s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 10:42:42,2018-06-24 10:42:49,7.257s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 10:42:49,2018-06-24 10:43:02,12.352s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 10:43:02,2018-06-24 10:43:07,5.589s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 10:43:07,2018-06-24 10:43:09,1.876s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:43:09,2018-06-24 10:43:10,0.433s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 10:43:10,2018-06-24 10:43:12,2.036s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 10:43:12,2018-06-24 10:43:13,0.995s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 10:43:13,2018-06-24 10:43:21,8.853s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-24 10:43:21,2018-06-24 10:43:23,1.268s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:43:23,2018-06-24 10:43:29,6.298s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:43:29,2018-06-24 10:43:47,17.732s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-24 10:43:47,2018-06-24 10:43:48,1.652s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:43:48,2018-06-24 10:43:49,0.131s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 10:43:49,2018-06-24 10:43:51,2.346s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-24 10:43:51,2018-06-24 10:43:51,0.153s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-24 10:43:51,2018-06-24 10:43:52,0.917s,PASSED
